gene	samples	FPKM	title	tissue	metastasis
TSPAN6	CA.102548	0.93	tumor rep1	breast tumor	yes
TNMD	CA.102548	0	tumor rep1	breast tumor	yes
DPM1	CA.102548	0	tumor rep1	breast tumor	yes
SCYL3	CA.102548	5.78	tumor rep1	breast tumor	yes
C1orf112	CA.102548	2.83	tumor rep1	breast tumor	yes
FGR	CA.102548	4.8	tumor rep1	breast tumor	yes
CFH	CA.102548	1.37	tumor rep1	breast tumor	yes
FUCA2	CA.102548	21.92	tumor rep1	breast tumor	yes
GCLC	CA.102548	34.16	tumor rep1	breast tumor	yes
NFYA	CA.102548	0.7	tumor rep1	breast tumor	yes
STPG1	CA.102548	11.84	tumor rep1	breast tumor	yes
NIPAL3	CA.102548	9.46	tumor rep1	breast tumor	yes
LAS1L	CA.102548	3.75	tumor rep1	breast tumor	yes
ENPP4	CA.102548	0.03	tumor rep1	breast tumor	yes
SEMA3F	CA.102548	8.53	tumor rep1	breast tumor	yes
CFTR	CA.102548	14.1	tumor rep1	breast tumor	yes
ANKIB1	CA.102548	2	tumor rep1	breast tumor	yes
CYP51A1	CA.102548	69.01	tumor rep1	breast tumor	yes
KRIT1	CA.102548	64.26	tumor rep1	breast tumor	yes
RAD52	CA.102548	2.83	tumor rep1	breast tumor	yes
BAD	CA.102548	25.69	tumor rep1	breast tumor	yes
LAP3	CA.102548	10	tumor rep1	breast tumor	yes
CD99	CA.102548	97.07	tumor rep1	breast tumor	yes
HS3ST1	CA.102548	1.87	tumor rep1	breast tumor	yes
AOC1	CA.102548	1.18	tumor rep1	breast tumor	yes
WNT16	CA.102548	0	tumor rep1	breast tumor	yes
HECW1	CA.102548	9	tumor rep1	breast tumor	yes
MAD1L1	CA.102548	20.65	tumor rep1	breast tumor	yes
LASP1	CA.102548	89.55	tumor rep1	breast tumor	yes
SNX11	CA.102548	143.06	tumor rep1	breast tumor	yes
TMEM176A	CA.102548	18.98	tumor rep1	breast tumor	yes
M6PR	CA.102548	33.82	tumor rep1	breast tumor	yes
KLHL13	CA.102548	0.22	tumor rep1	breast tumor	yes
CYP26B1	CA.102548	2.65	tumor rep1	breast tumor	yes
ICA1	CA.102548	30.24	tumor rep1	breast tumor	yes
DBNDD1	CA.102548	7.7	tumor rep1	breast tumor	yes
ALS2	CA.102548	3.36	tumor rep1	breast tumor	yes
CASP10	CA.102548	83.88	tumor rep1	breast tumor	yes
CFLAR	CA.102548	349.46	tumor rep1	breast tumor	yes
TFPI	CA.102548	12.95	tumor rep1	breast tumor	yes
NDUFAF7	CA.102548	23.01	tumor rep1	breast tumor	yes
RBM5	CA.102548	38.95	tumor rep1	breast tumor	yes
MTMR7	CA.102548	0	tumor rep1	breast tumor	yes
SLC7A2	CA.102548	1.19	tumor rep1	breast tumor	yes
ARF5	CA.102548	28.7	tumor rep1	breast tumor	yes
SARM1	CA.102548	3.62	tumor rep1	breast tumor	yes
POLDIP2	CA.102548	7.81	tumor rep1	breast tumor	yes
PLXND1	CA.102548	73.1	tumor rep1	breast tumor	yes
AK2	CA.102548	13.46	tumor rep1	breast tumor	yes
CD38	CA.102548	1.13	tumor rep1	breast tumor	yes
FKBP4	CA.102548	49.33	tumor rep1	breast tumor	yes
KDM1A	CA.102548	3.28	tumor rep1	breast tumor	yes
RBM6	CA.102548	165.62	tumor rep1	breast tumor	yes
CAMKK1	CA.102548	91.73	tumor rep1	breast tumor	yes
RECQL	CA.102548	2.53	tumor rep1	breast tumor	yes
CCDC132	CA.102548	7.86	tumor rep1	breast tumor	yes
HSPB6	CA.102548	4.03	tumor rep1	breast tumor	yes
ARHGAP33	CA.102548	10.03	tumor rep1	breast tumor	yes
NDUFAB1	CA.102548	3.54	tumor rep1	breast tumor	yes
PDK4	CA.102548	1.62	tumor rep1	breast tumor	yes
SLC22A16	CA.102548	0	tumor rep1	breast tumor	yes
ZMYND10	CA.102548	6.95	tumor rep1	breast tumor	yes
ABCB5	CA.102548	17.14	tumor rep1	breast tumor	yes
ARX	CA.102548	0.88	tumor rep1	breast tumor	yes
SLC25A13	CA.102548	1.17	tumor rep1	breast tumor	yes
ST7	CA.102548	1.48	tumor rep1	breast tumor	yes
CDC27	CA.102548	5.81	tumor rep1	breast tumor	yes
SLC4A1	CA.102548	0	tumor rep1	breast tumor	yes
CALCR	CA.102548	0	tumor rep1	breast tumor	yes
HCCS	CA.102548	0.56	tumor rep1	breast tumor	yes
DVL2	CA.102548	25.68	tumor rep1	breast tumor	yes
PRSS22	CA.102548	45.58	tumor rep1	breast tumor	yes
UPF1	CA.102548	31.96	tumor rep1	breast tumor	yes
SKAP2	CA.102548	10.32	tumor rep1	breast tumor	yes
SLC25A5	CA.102548	8.79	tumor rep1	breast tumor	yes
CCDC109B	CA.102548	8.7	tumor rep1	breast tumor	yes
HOXA11	CA.102548	1.05	tumor rep1	breast tumor	yes
POLR2J	CA.102548	11.04	tumor rep1	breast tumor	yes
DHX33	CA.102548	3.04	tumor rep1	breast tumor	yes
MEOX1	CA.102548	0.25	tumor rep1	breast tumor	yes
THSD7A	CA.102548	0.31	tumor rep1	breast tumor	yes
LIG3	CA.102548	10.31	tumor rep1	breast tumor	yes
RPAP3	CA.102548	5.09	tumor rep1	breast tumor	yes
ACSM3	CA.102548	1.4	tumor rep1	breast tumor	yes
AC004381.6	CA.102548	3.89	tumor rep1	breast tumor	yes
CIAPIN1	CA.102548	11.96	tumor rep1	breast tumor	yes
FAM214B	CA.102548	7.04	tumor rep1	breast tumor	yes
COPZ2	CA.102548	5.82	tumor rep1	breast tumor	yes
